Title,Genre,IMDB Rating,Rating
An Evening with Beverly Luff Linn,"Comedy, Crime",5.8,R
An Interview with God,"Drama, Mystery",5.8,Unrated
An Ordinary Man,"Drama, Thriller, War",5.6,R
An Unremarkable Christmas,"Comedy, Drama",3.4,TV-14
Anaamika,Thriller,5.6,Not Rated
Anchor Baby,"Drama, Thriller",6.3,Not Rated
Andaz Apna Apna,"Action, Comedy, Romance",8.1,Not Rated
Andhadhun,"Crime, Drama, Music",8.2,Not Rated
André and Wally B.,"Animation, Short, Family",5.3,G
Anelka: Misunderstood,"Documentary, Sport",6.4,TV-14
Anesthesia,"Crime, Drama",6.1,R
Angamaly Diaries,"Action, Comedy, Thriller",8.0,Not Rated
Angel Eyes,"Drama, Romance",5.6,R
Angel Has Fallen,"Action, Thriller",6.4,R
Angela's Christmas,"Animation, Short, Adventure",7.0,G
Angela's Christmas Wish,"Animation, Adventure, Comedy",7.0,TV-Y7-FV
Angels & Demons,"Action, Mystery, Thriller",6.7,PG-13
Anger Management,Comedy,6.2,PG-13
Ani... Dr. Kashinath Ghanekar,Drama,8.5,Not Rated
Animal Crackers,"Comedy, Musical",7.5,G
Anitta: Made in Honório,"Documentary, Biography, Music",7.1,TV-MA
Anjaan,"Action, Crime, Thriller",5.2,Not Rated
Anjelah Johnson: Not Fancy,"Documentary, Comedy",5.8,Not Rated
Ankur Arora Murder Case,"Drama, Thriller",6.5,Not Rated
Annabelle Hooper and the Ghosts of Nantucket,"Adventure, Family, Mystery",5.6,Unrated
Anon,"Crime, Sci-Fi, Thriller",6.1,TV-MA
Ant-Man and the Wasp,"Action, Adventure, Comedy",7.0,PG-13
Anthony Jeselnik: Fire in the Maternity Ward,Comedy,7.2,TV-MA
Anthony Jeselnik: Thoughts and Prayers,Comedy,7.8,TV-MA
Apaharan,"Action, Crime, Drama",7.4,Not Rated
Apex: The Story of the Hypercar,Documentary,7.3,Unrated
Apollo 18,"Horror, Mystery, Sci-Fi",5.2,PG-13
Apostle,"Drama, Fantasy, Horror",6.3,TV-MA
Are We Done Yet?,"Comedy, Family, Fantasy",4.3,PG
Ari Eldjárn: Pardon My Icelandic,Comedy,7.9,TV-MA
"Ariana Grande: Excuse Me, I Love You","Documentary, Music",6.4,TV-MA
Arjun: The Warrior Prince,"Animation, Action, Adventure",6.9,Not Rated
ARQ,"Action, Sci-Fi, Thriller",6.4,TV-MA
Arrow,"Action, Adventure, Crime",7.5,TV-14
Arsenio Hall: Smart and Classy,Comedy,6.0,TV-MA
Arthur,"Comedy, Romance",5.7,PG-13
Arthur Christmas,"Animation, Adventure, Comedy",7.1,PG
Article 15,"Crime, Drama, Mystery",8.2,Not Rated
"As Above, So Below","Horror, Mystery, Thriller",6.2,R
As Good as It Gets,"Comedy, Drama, Romance",7.7,PG-13
Asoka,"Action, Biography, Drama",6.5,R
Assimilate,"Horror, Mystery, Sci-Fi",5.3,TV-PG
Asura Guru,"Action, Crime, Thriller",3.2,Not Rated
At All Costs,"Documentary, Sport",6.5,PG
ATM,"Horror, Thriller",4.7,R
Aurora,"Romance, Sci-Fi, Thriller",6.0,Unrated
Austin Powers in Goldmember,"Action, Adventure, Comedy",6.2,PG-13
Austin Powers: International Man of Mystery,"Adventure, Comedy",7.0,PG-13
Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy",6.6,PG-13
Ava,"Action, Crime, Drama",5.4,R
Avengement,"Action, Crime",6.6,Not Rated
Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,PG-13
Avicii: True Stories,"Documentary, Biography, Music",7.6,Not Rated
Await Further Instructions,"Horror, Mystery, Sci-Fi",4.8,TV-MA
Awake,"Crime, Drama, Mystery",6.5,R
Azhar,"Biography, Drama, Sport",5.7,Not Rated
Aziz Ansari: Right Now,Comedy,7.5,TV-MA
B.A. Pass,"Crime, Drama, Thriller",6.4,Unrated
Baadshaho,"Action, Adventure, Thriller",4.9,Not Rated
Baaghi,"Action, Romance, Thriller",5.2,Not Rated
Baazaar,"Crime, Drama, Thriller",6.6,Not Rated
Babam ve Oglum,"Drama, Family",8.2,Not Rated
Babel,Drama,7.4,R
Baby Mamas,Comedy,6.5,TV-14
Back of the Net,"Comedy, Family",5.3,Unrated
Backcountry,"Adventure, Drama, Horror",6.0,R
Backdraft 2,"Action, Crime, Drama, Thriller",4.8,R
Backfire,"Crime, Film-Noir, Mystery",6.6,Passed
Backtrack,"Drama, Fantasy, Mystery",6.0,R
Bad Boys,"Action, Comedy, Crime",6.9,R
Bad Boys II,"Action, Comedy, Crime",6.6,R
Bad Day for the Cut,"Action, Crime, Drama",6.5,Not Rated
Bad Grandpa .5,Comedy,6.3,Unrated
Bad Match,"Mystery, Thriller",5.6,TV-MA
Badla,"Crime, Drama, Mystery",7.8,Not Rated
Badland,Western,5.5,TV-14
Balto,"Animation, Adventure, Drama",7.1,G
Banana Split,Comedy,6.2,R
Band Aid,"Comedy, Drama, Music",6.6,R
Band of Robbers,"Adventure, Comedy, Crime",6.0,TV-MA
Bang Rajan 2,"Action, Adventure, War",5.5,TV-14
Bangistan,"Comedy, Drama",4.5,Not Rated
Barbie as The Princess and the Pauper,"Animation, Comedy, Family, Musical",6.9,Not Rated
Barbie: Dolphin Magic,"Animation, Adventure, Family, Fantasy",5.7,TV-G
Barbie in a Mermaid Tale,"Animation, Family, Fantasy",6.3,TV-Y
Barbie in Princess Power,"Animation, Family, Fantasy",5.5,TV-Y
Barbie in Rock 'N Royals,"Animation, Family",6.1,Not Rated
Barbie: Star Light Adventure,"Animation, Family, Sci-Fi",6.0,Not Rated
Barbie: A Fairy Secret,"Animation, Family, Fantasy",5.8,TV-Y
Barbie: Princess Charm School,"Animation, Family, Fantasy",6.5,TV-Y
Barbie: Spy Squad,"Animation, Family",5.7,TV-Y7
Barbie: The Princess & the Popstar,"Animation, Family, Musical",5.8,TV-Y
Barbie Video Game Hero,Animation,5.2,Not Rated
Barbra: The Music... The Mem'ries... The Magic!,Music,7.5,TV-14
Barcelona: A Love Untold,"Drama, Romance",6.9,TV-PG
Bareilly Ki Barfi,"Comedy, Romance",7.5,Not Rated
Barely Lethal,"Action, Comedy",5.4,PG-13
Barfi!,"Comedy, Drama, Romance",8.1,Not Rated
Barry,"Action, Comedy, Crime",8.3,TV-MA
Barsaat,"Action, Romance",5.4,Not Rated
BASEketball,"Comedy, Sport",6.5,R
Basic Instinct,"Drama, Mystery, Thriller",7.0,R
Bathtubs Over Broadway,"Documentary, Comedy, Music",7.6,PG-13
Batman: The Killing Joke,"Animation, Action, Crime",6.4,R
Battle,"Drama, Music, Romance",5.9,TV-MA
Battle Drone,"Action, Sci-Fi",5.1,PG-13
Bawarchi,"Comedy, Musical, Drama",8.0,Not Rated
Bayonet,"Short, Drama, Thriller",6.5,Not Rated
Bazaar,"Drama, Family",7.3,Not Rated
Bbuddah... Hoga Terra Baap,"Action, Comedy, Crime",5.6,Not Rated
Be Somebody,"Comedy, Drama, Romance",5.6,PG
Beasts of No Nation,"Drama, War",7.7,TV-MA
Beats,Drama,6.4,TV-MA
Beauty and the Bestie,"Action, Comedy, Drama",4.8,TV-14
Beavis and Butt-Head Do America,"Animation, Adventure, Comedy",6.8,PG-13
Bébé's Kids,"Animation, Comedy, Fantasy",5.8,PG-13
Becoming,Documentary,6.8,PG
Becoming Jane,"Biography, Drama, Romance",7.0,PG
Bedtime Stories,"Adventure, Comedy, Family",6.0,PG
Bee Movie,"Animation, Adventure, Comedy",6.1,PG
Before I Fall,"Drama, Fantasy, Mystery",6.5,PG-13
Before I Wake,"Drama, Fantasy, Horror",6.2,PG-13
Before the Flood,"Documentary, News",8.2,PG
Being Elmo: A Puppeteer's Journey,Documentary,7.6,PG
Below Her Mouth,"Drama, Romance",5.5,Not Rated
Ben Platt Live from Radio City Music Hall,Music,8.4,TV-PG
Benchwarmers 2: Breaking Balls,"Comedy, Sport",4.1,PG-13
Beneath the Leaves,Thriller,4.6,TV-MA
Benji,"Adventure, Family, Romance",6.1,G
Benji: Off the Leash!,"Drama, Family",5.1,PG
Benji's Very Own Christmas Story,Family,5.2,Unrated
Bennett's War,Sport,5.9,PG-13
Berlin Syndrome,"Drama, Horror, Mystery",6.3,R
Bert Kreischer: The Machine,Comedy,7.7,TV-MA
Bethany Hamilton: Unstoppable,"Documentary, Sport",7.4,PG
Betting on Zero,Documentary,7.2,Not Rated
Between Maybes,"Drama, Romance",6.3,Not Rated
Between Two Ferns: The Movie,Comedy,6.1,TV-MA
Between Worlds,"Fantasy, Thriller",4.0,R
Beyond Skyline,"Action, Adventure, Sci-Fi",5.3,R
Bhagam Bhag,"Comedy, Drama, Mystery",6.5,Not Rated
Bhavesh Joshi Superhero,"Action, Crime, Drama",7.6,Not Rated
Bheeshma,"Action, Comedy, Romance",6.6,Not Rated
Bhool Bhulaiyaa,"Comedy, Horror, Mystery",7.3,Not Rated
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Big Bear,Comedy,5.1,TV-MA
